yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
189208,5.62,0.2333,0.3600,,,,,,,,,0.002200,0.041512,0.042112,0.064057,0.648056,,,,,,,,0.000932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189209,5.48,0.2350,0.3625,,,,,,,,,0.002562,0.042883,0.041815,0.066150,0.648276,,,,,,,,0.001024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189210,5.59,0.2367,0.3650,,,,,,,,,0.003115,0.042343,0.043193,0.065295,0.648493,,,,,,,,0.000360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189211,5.57,0.2383,0.3675,,,,,,,,,0.003447,0.042783,0.042630,0.065978,0.648435,,,,,,,,0.000778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189212,5.51,0.2400,0.3700,,,,,,,,,0.003433,0.043557,0.043088,0.067151,0.648649,,,,,,,,0.000957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189301,5.61,0.2408,0.3608,,,,,,,,,0.003698,0.042923,0.043702,0.064314,0.667406,,,,,,,,0.000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189302,5.51,0.2417,0.3517,,,,,,,,,0.003403,0.043866,0.043084,0.063829,0.687233,,,,,,,,0.001716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189303,5.31,0.2425,0.3425,,,,,,,,,0.003307,0.045669,0.044011,0.064501,0.708029,,,,,,,,0.001241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189304,5.31,0.2433,0.3333,,,,,,,,,0.004657,0.045819,0.045819,0.062768,0.729973,,,,,,,,0.001631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189305,4.84,0.2442,0.3242,,,,,,,,,0.003883,0.050455,0.045989,0.066983,0.753239,,,,,,,,0.006066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189306,4.61,0.2450,0.3150,,,,,,,,,0.004576,0.053145,0.050620,0.068330,0.777778,,,,,,,,0.002971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189307,4.18,0.2458,0.3058,,,,,,,,,0.005890,0.058804,0.053319,0.073158,0.803793,,,,,,,,0.017439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189308,4.08,0.2467,0.2967,,,,,,,,,0.007668,0.060466,0.059019,0.072721,0.831480,,,,,,,,0.009678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189309,4.37,0.2475,0.2875,,,,,,,,,0.007462,0.056636,0.060662,0.065789,0.860870,,,,,,,,0.004453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189310,4.50,0.2483,0.2783,,,,,,,,,0.005750,0.055178,0.056819,0.061844,0.892203,,,,,,,,0.004594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189311,4.57,0.2492,0.2692,,,,,,,,,0.004001,0.054530,0.055378,0.058906,0.925706,,,,,,,,0.002224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189312,4.41,0.2500,0.2600,,,,,,,,,0.002872,0.056689,0.054705,0.058957,0.961538,,,,,,,,0.001670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189401,4.32,0.2467,0.2517,,,,,,,,,0.002340,0.057106,0.055941,0.058264,0.980135,,,,,,,,0.003061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189402,4.38,0.2433,0.2433,,,,,,,,,0.002208,0.055548,0.056319,0.055548,1.000000,,,,,,,,0.000469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189403,4.51,0.2400,0.2350,,,,,,,,,0.002075,0.053215,0.054795,0.052106,1.021277,,,,,,,,0.001185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189404,4.57,0.2367,0.2267,,,,,,,,,0.001875,0.051794,0.052483,0.049606,1.044111,,,,,,,,0.000707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
